Title,Author,Avg rating,Number of Ratings,Year Published,Score
A Mind for Numbers: How to Excel at Math and Science,Barbara Oakley,4.2,19654,2014,9.293451
Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,4.12,123046,2008,9.2900675
Attitude Is Everything: Change Your Attitude... and You Change Your Life!,Jeff Keller,4.22,12163,1999,9.2850407
A Guide to the Good Life: The Ancient Art of Stoic Joy,William B. Irvine,4.19,24211,2008,9.2840127
Inner Engineering: A Yogi's Guide to Joy,Sadhguru,4.2,18275,2016,9.2618574
Comfortable with Uncertainty: 108 Teachings on Cultivating Fearlessness and Compassion,Pema Chödrön,4.24,7235,2002,9.2594385
Leadershift: The 11 Essential Changes Every Leader Must Embrace,John C. Maxwell,4.29,2251,2019,9.2523755
You Are the Girl for the Job: Daring to Believe the God Who Calls You,Jess Connolly,4.27,3561,2019,9.251572
Ego Is the Enemy,Ryan Holiday,4.14,70312,2016,9.2470295
"The Upward Spiral: Using Neuroscience to Reverse the Course of Depression, One Small Change at a Time",Alex Korb,4.25,5431,2015,9.2348798
Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,Jake Knapp,4.19,21512,2016,9.2326808
The New Psycho-Cybernetics: The Original Science of Self-Improvement and Success That Has Changed the Lives of 30 Million People,Dan S.   Kennedy,4.28,2700,1998,9.2313638
Hell Yeah or No: What's Worth Doing,Derek Sivers,4.28,2669,2020,9.2263486
The Midnight Library,Matt Haig,4,1666064,2020,9.2216917
The 21 Irrefutable Laws of Leadership: Follow Them and People Will Follow You,John C. Maxwell,4.15,52547,1998,9.2205479
Range: Why Generalists Triumph in a Specialized World,David   Epstein,4.14,65959,2019,9.2192741
The Book of Forgiving: The Fourfold Path for Healing Ourselves and Our World,Desmond Tutu,4.25,5039,2013,9.2023444
"Together: Why Social Connection Holds the Key to Better Health, Higher Performance, and Greater Happiness",Vivek H. Murthy,4.24,6290,2020,9.1986506
Beyond Order: 12 More Rules For Life,Jordan B. Peterson,4.18,23419,2021,9.1695683
Women Who Run With the Wolves,Clarissa Pinkola Estés,4.13,73395,1992,9.1656665
"The Noticer: Sometimes, All a Person Needs Is a Little Perspective",Andy Andrews,4.19,17768,2009,9.1496385
"Forgiving What You Can't Forget: Discover How to Move On, Make Peace with Painful Memories, and Create a Life That's Beautiful Again",Lysa TerKeurst,4.2,13663,,9.1355461
Rich Dad's Cashflow Quadrant: Rich Dad's Guide to Financial Freedom,Robert T. Kiyosaki,4.14,54174,,9.1337909
"Fierce, Free, and Full of Fire: The Guide to Being Glorious You",Jen Hatmaker,4.22,8543,,9.1316104
100 Days to Brave: Devotions for Unlocking Your Most Courageous Self,Annie F. Downs,4.25,4222,2017,9.1255182
Hidden Potential: The Science of Achieving Greater Things,Adam M. Grant,4.21,10548,2023,9.1231701
The Five Love Languages of Children,Gary Chapman,4.17,25839,1995,9.1122757
The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results,Gary Keller,4.13,64660,2012,9.1106357
Tell Me More: Stories About the 12 Hardest Things I'm Learning to Say,Kelly Corrigan,4.18,20028,2018,9.1016376
The Four Agreements Companion Book,Miguel Ruiz,4.24,5030,2000,9.101568
Eight Dates: Essential Conversations for a Lifetime of Love,John M. Gottman,4.22,7887,2019,9.0969118
The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance,W. Timothy Gallwey,4.18,19720,1974,9.0949069
The 7 Habits of Highly Effective People Personal Workbook,Stephen R. Covey,4.25,3710,2003,9.0693739
"Stories That Stick: How Storytelling Can Captivate Customers, Influence Audiences, and Transform Your Business",Kindra Hall,4.26,2946,2019,9.0692327
Mindset: The New Psychology of Success,Carol S. Dweck,4.09,147395,2006,9.0684828
The five dysfunctions of a team,Patrick Lencioni,4.1,115335,2002,9.0619611
The Infinite Game,Simon Sinek,4.17,22930,2019,9.0604041
Radical Acceptance: Embracing Your Life With the Heart of a Buddha,Tara Brach,4.16,27633,2000,9.041428
What I Know for Sure,Oprah Winfrey,4.14,43183,2014,9.0353128
EntreLeadership: 20 Years of Practical Business Wisdom from the Trenches,Dave Ramsey,4.19,13396,2011,9.0269751
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,4.01,844616,2005,9.0266593
Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,4.13,53078,1980,9.0249146
Lifespan: Why We Age―and Why We Don't Have To,David A. Sinclair,4.17,21042,2019,9.023087
Clear Thinking: Turning Ordinary Moments into Extraordinary Results,Shane Parrish,4.27,2089,,9.0199384
Resilience: Hard-Won Wisdom for Living a Better Life,Eric Greitens,4.24,4119,2015,9.0147918
The Magic of Believing,Claude M. Bristol,4.23,5183,1948,9.0145812
Anatomy of the Spirit: The Seven Stages of Power and Healing,Caroline Myss,4.15,32192,1996,9.007748
How to Manage Your Home Without Losing Your Mind: Dealing with Your House's Dirty Little Secrets,Dana K. White,4.21,8045,2016,9.005526
Personality Plus: How to Understand Others by Understanding Yourself,Florence Littauer,4.2,10120,1983,9.0051805
The Mind Illuminated: A Complete Meditation Guide Integrating Buddhist Wisdom and Brain Science,Culadasa (John Charles Yates),4.24,4017,2015,9.0039018
The Anatomy of Peace: Resolving the Heart of Conflict,The Arbinger Institute,4.18,15832,2015,8.9995358
The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,Mark Nepo,4.2,9934,1999,8.9971242
The Happiness Advantage: The Seven Principles of Positive Psychology That Fuel Success and Performance at Work,Shawn Achor,4.14,38329,2010,8.9835275
The Wisdom of Insecurity: A Message for an Age of Anxiety,Alan W. Watts,4.16,24036,1951,8.9808622
Radical Compassion: Learning to Love Yourself and Your World with the Practice of RAIN,Tara Brach,4.23,4775,2019,8.9789734
The Defining Decade: Why Your Twenties Matter—And How to Make the Most of Them Now,Meg Jay,4.11,71361,2012,8.9534609
Principles: Life and Work,Ray Dalio,4.12,56679,2017,8.9534222
The Wisdom of the Enneagram: The Complete Guide to Psychological and Spiritual Growth for the Nine Personality Types,Don Richard Riso,4.21,6964,1999,8.9428588
Why Zebras Don't Get Ulcers,Robert M. Sapolsky,4.18,13863,1993,8.9418572
The Power of One More: The Ultimate Guide to Happiness and Success,Ed Mylett,4.23,4309,,8.9343765
How to Be Perfect: The Correct Answer to Every Moral Question,Michael Schur,4.15,27123,2022,8.9333377
Mind Power into the 21st Century: Techniques to Harness the Astounding Powers of Thought,John Kehoe,4.23,4287,1996,8.9321535
The Voice of Knowledge,Miguel Ruiz,4.2,8522,2000,8.9305415
Together Is Better,Simon Sinek,4.23,4224,2016,8.9257239
You'll see it when you believe it,Wayne W. Dyer,4.22,5273,1989,8.9220578
The Little Book of Common Sense Investing: The Only Way to Guarantee Your Fair Share of Stock Market Returns,John C. Bogle,4.16,20874,2007,8.9196057
The Hero With a Thousand Faces,Joseph Campbell,4.13,41018,1949,8.9129745
Running on Empty: Overcome Your Childhood Emotional Neglect,Jonice Webb,4.2,8176,2012,8.9125409
Everything I Know About Love,Dolly Alderton,4.05,258346,2018,8.9122017
"We Should All Be Millionaires: A Woman’s Guide to Earning More, Building Wealth, and Gaining Economic Power",Rachel Rodgers,4.22,5144,2021,8.911301
The Science of Getting Rich,Wallace D. Wattles,4.13,40631,1910,8.9088575
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4,808607,2000,8.9077375
Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,4.12,50390,2014,8.9023444
Flow: The Psychology of Optimal Experience,Mihály Csíkszentmihályi,4.1,78346,1990,8.8940168
Grit: The Power of Passion and Perseverance,Angela Duckworth,4.08,120260,2016,8.8801212
"Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life",Jon Kabat-Zinn,4.12,47678,1994,8.878318
Will I Ever Be Good Enough? Healing the Daughters of Narcissistic Mothers,Karyl McBride,4.19,9459,2008,8.8758452
Acres of Diamonds,Russell H. Conwell,4.19,9409,1953,8.8735435
Make It Stick: The Science of Successful Learning,Peter C. Brown,4.16,18523,2014,8.8677113
"WOLFPACK: How to Come Together, Unleash Our Power, and Change the Game",Abby Wambach,4.15,23313,2019,8.8675982
Lovingkindness: The Revolutionary Art of Happiness,Sharon Salzberg,4.2,7160,1995,8.854913
"Chase the Lion: If Your Dream Doesn't Scare You, It's Too Small",Mark Batterson,4.24,2835,2016,8.8525531
A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing,Burton G. Malkiel,4.13,35479,1973,8.8499714
Seeking Wisdom: From Darwin To Munger,Peter Bevelin,4.22,4438,2003,8.8471873
"Permission to Feel: Unlocking the Power of Emotions to Help Our Kids, Ourselves, and Our Society Thrive",Marc Brackett,4.19,8758,2019,8.8424049
Scrum: The Art of Doing Twice the Work in Half the Time,Jeff Sutherland,4.15,21568,2014,8.8338099
Excellent Advice for Living: Wisdom I Wish I'd Known Earlier,Kevin Kelly,4.24,2665,,8.8256972
"The Greatest You: Face Reality, Release Negativity, and Live Your Purpose",Trent Shelton,4.27,1333,,8.8248301
On Becoming a Person: A Therapist's View of Psychotherapy,Carl R. Rogers,4.16,16584,1961,8.8196893
Codependent No More: How to Stop Controlling Others and Start Caring for Yourself,Melody Beattie,4.12,41235,1986,8.815266
"The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do to Get More of It",Kelly McGonigal,4.13,31839,2011,8.8029594
Sometimes You Win--Sometimes You Learn: Life's Greatest Lessons Are Gained from Our Losses,John C. Maxwell,4.24,2525,,8.8022614
The Master Key System,Charles F. Haanel,4.2,6338,1912,8.8019522
Today Matters: 12 Daily Practices to Guarantee Tomorrow's Success,John C. Maxwell,4.2,6329,,8.8013351
The Perfectionist's Guide to Losing Control: A Path to Peace and Power,Katherine Morgan Schafler,4.24,2518,2023,8.8010557
The Art of Impossible: A Peak Performance Primer,Steven Kotler,4.23,3134,2021,8.796099
A Million Miles in a Thousand Years: What I Learned While Editing My Life,Donald Miller,4.13,30748,2009,8.7878169
The Rhythm of Life: Living Every Day with Passion and Purpose,Matthew Kelly,4.23,3073,1999,8.7875626
Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,4.13,30682,2016,8.7868837
"Expert Secrets: The Underground Playbook for Finding Your Message, Building a Tribe, and Changing the World",Russell Brunson,4.22,3858,,8.7863622
Reasons to Stay Alive,Matt Haig,4.08,95198,2015,8.7786278
The 50th Law,50 Cent,4.17,11679,2008,8.7674057
Failing Forward: Turning Mistakes Into Stepping Stones for Success,John C. Maxwell,4.17,11477,,8.7598284
Put Your Dream to the Test: 10 Questions That Will Help You See It and Seize It,John C. Maxwell,4.25,1799,,8.7550312
The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,Brianna Wiest,4.11,44895,2020,8.752198
The Five People You Meet in Heaven,Mitch Albom,3.99,711366,2003,8.7520931
"The Lazy Genius Way: Embrace What Matters, Ditch What Doesn't, and Get Stuff Done",Kendra Adachi,4.14,22348,2020,8.7492387
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,4.07,110841,1995,8.7447004
No Bad Parts: Healing Trauma and Restoring Wholeness with the Internal Family Systems Model,Richard C. Schwartz,4.19,6812,2021,8.7332746
Be Useful: Seven Tools for Life,Arnold Schwarzenegger,4.18,8545,,8.7317121
First Things First,Stephen R. Covey,4.11,41886,1993,8.7220689
T is for Transformation,Shaun T.,4.24,2076,2017,8.7172273
The Personal MBA: Master the Art of Business,Josh Kaufman,4.11,41055,2010,8.7133661
Self-Compassion: The Proven Power of Being Kind to Yourself,Kristin Neff,4.14,20563,2011,8.7130865
Leaders Eat Last: Why Some Teams Pull Together and Others Don't,Simon Sinek,4.1,51243,2014,8.7096345
Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb,4.1,50874,2012,8.7064959
"The Biology Of Belief: Unleashing The Power Of Consciousness, Matter And Miracles",Bruce H. Lipton,4.15,15574,2005,8.6924002
"The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth",M. Scott Peck,4.07,97349,1978,8.6883315
Breaking the Habit of Being Yourself: How to Lose Your Mind and Create a New One,Joe Dispenza,4.13,24375,2012,8.6869446
Tiny Habits: The Small Changes That Change Everything,B.J.  Fogg,4.15,15214,2019,8.6822434
I Hear You: The Surprisingly Simple Skill Behind Extraordinary Relationships,Michael S. Sorensen,4.17,9575,2017,8.6811388
Integrity: The Courage to Meet the Demands of Reality,Henry Cloud,4.22,3015,2006,8.6792873
Toxic Parents: Overcoming Their Hurtful Legacy and Reclaiming Your Life,Susan Forward,4.15,14808,1990,8.6704964
The Goal: A Process of Ongoing Improvement,Eliyahu M. Goldratt,4.08,73947,1984,8.6689206
The Power of Your Subconscious Mind,Joseph Murphy,4.08,73872,1963,8.6684799
Master Your Emotions: A Practical Guide to Overcome Negativity and Better Manage Your Feelings,Thibaut Meurisse,4.15,14717,2018,8.6678193
Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,4.02,285835,2019,8.6561154
Mindfulness in Plain English,Henepola Gunaratana,4.14,17340,1992,8.6390491
Think Like a Rocket Scientist: Simple Strategies You Can Use to Make Giant Leaps in Work and Life,Ozan Varol,4.2,4315,2020,8.6349808
Essentialism: The Disciplined Pursuit of Less,Greg McKeown,4.06,107198,2011,8.6301867
Untamed,Glennon Doyle,4,425398,2020,8.6287954
Hooked: How to Build Habit-Forming Products,Nir   Eyal,4.1,42533,2013,8.628726
The Third Door: The Wild Quest to Uncover How the World's Most Successful People Launched Their Careers,Alex Banayan,4.18,6682,2018,8.6249065
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,4.1,41565,2016,8.6187278
Turning Pro,Steven Pressfield,4.15,12876,2012,8.609781
The Power of Moments: Why Certain Experiences Have Extraordinary Impact,Chip Heath,4.13,20209,2017,8.6055448
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,Nassim Nicholas Taleb,4.08,63735,2001,8.604378
What to Say When You Talk to Yourself,Shad Helmstetter,4.14,15781,1986,8.5981345
"Peak Performance: Elevate Your Game, Avoid Burnout, and Thrive with the New Science of Success",Brad Stulberg,4.17,7887,2017,8.5969118
"Playing Big: Practical Wisdom for Women Who Want to Speak Up, Create, and Lead",Tara Mohr,4.19,4971,2014,8.5964438
All About Love: New Visions,bell hooks,4.07,78213,1999,8.5932789
The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom,Jonathan Haidt,4.1,39126,2006,8.5924655
15 Commitments of Conscious Leadership,Jim Dethmer,4.22,2461,2015,8.5911116
Let Your Life Speak: Listening for the Voice of Vocation,Parker J. Palmer,4.15,12241,1999,8.5878169
Ordering Your Private World,Gordon MacDonald,4.19,4867,1983,8.5872613
The Creative Act: A Way of Being,Rick Rubin,4.12,24058,2023,8.5812595
Team of Teams: New Rules of Engagement for a Complex World,Stanley McChrystal,4.15,11983,2015,8.5785656
The Book You Wish Your Parents Had Read [and Your Children Will Be Glad That You Did],Philippa Perry,4.12,23763,2019,8.5759013
The Alchemist,Paulo Coelho,3.91,2989839,1988,8.5756478
Emotional Intelligence: Why It Can Matter More Than IQ,Daniel Goleman,4.05,118512,1995,8.5737623
"Full Catastrophe Living: Using the Wisdom of Your Body and Mind to Face Stress, Pain, and Illness",Jon Kabat-Zinn,4.14,14878,1990,8.5725446
"The Molecule of More: How a Single Chemical in Your Brain Drives Love, Sex, and Creativity—and Will Determine the Fate of the Human Race",Daniel Z. Lieberman,4.15,11714,2018,8.5687052
The Rational Male,Rollo Tomassi,4.17,7271,2013,8.5615941
"Carry On, Warrior: Thoughts on Life Unarmed",Glennon Doyle,4.11,28783,2013,8.5591361
Quit: The Power of Knowing When to Walk Away,Annie Duke,4.2,3598,2022,8.5560612
The Law of Attraction: The Basics of the Teachings of Abraham,Esther Hicks,4.12,22638,2006,8.5548381
Year of Yes,Shonda Rhimes,4.06,90066,2015,8.5545609
"Endure: Mind, Body, and the Curiously Elastic Limits of Human Performance",Alex  Hutchinson,4.14,14261,2018,8.55415
Love Warrior,Glennon Doyle Melton,4.07,70382,2016,8.5474616
The Comfort Book,Matt Haig,4.08,55779,2021,8.5464707
The Comfort Book,Matt Haig,4.08,55779,2021,8.5464707
The E-myth Revisited,Michael E. Gerber,4.06,85256,1985,8.530725
No Limits: Blow the CAP Off Your Capacity,John C. Maxwell,4.25,1070,2017,8.5293838
Believe It: How to Go from Underestimated to Unstoppable,Jamie Kern Lima,4.2,3360,,8.5263393
The Way of Integrity: Finding the Path to Your True Self (Oprah's Book Club),Martha N. Beck,4.17,6493,2021,8.5124454
Creative Visualization: Use the Power of Your Imagination to Create What You Want in Your Life,Shakti Gawain,4.11,25596,1978,8.5081721
How to Be an Adult in Relationships: The Five Keys to Mindful Loving,David Richo,4.18,5104,2002,8.5079107
The Book of Boundaries,Melissa Urban,4.19,4028,2022,8.5050895
Leadership and Self-Deception: Getting Out of the Box,The Arbinger Institute,4.1,31718,2000,8.5013058
Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,4.13,15672,2015,8.4951244
"Built to Last: Successful Habits of Visionary Companies (Good to Great, 2)",James C. Collins,4.06,76757,1994,8.485118
Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,4.06,76435,2019,8.4832923
The Good Life: Lessons from the World's Longest Scientific Study of Happiness,Robert Waldinger,4.17,6043,2023,8.4812526
Power vs. Force: The Hidden Determinants of Human Behavior,David R. Hawkins,4.14,11988,1985,8.4787467
How To Get Rich,Felix Dennis,4.17,5872,2008,8.468786
Cues: Master the Secret Language of Charismatic Communication,Vanessa Van Edwards,4.23,1451,,8.4616674
Reinventing Your Life: The Breakthrough Program to End Negative Behavior...and Feel Great Again,Jeffrey E. Young,4.16,7221,1993,8.4585973
"The Little Book of Stoicism: Timeless Wisdom to Gain Resilience, Confidence, and Calmness",Jonas Salzgeber,4.18,4553,2019,8.4582977
Anything You Want: 40 Lessons for a New Kind of Entrepreneur,Derek Sivers,4.11,22762,2011,8.4572104
Finish: Give Yourself the Gift of Done,Jon Acuff,4.14,11368,2017,8.4556841
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,J.K. Rowling,4.1,28257,2015,8.4511261
The Go-Getter,Peter B. Kyne,4.15,8857,1920,8.4472866
Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,4.06,70074,2002,8.4455569
So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,Cal Newport,4.08,43067,2012,8.4341446
Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,4.08,42631,2017,8.4297255
The 21 Indispensable Qualities of a Leader: Becoming the Person Others Will Want to Follow,John C. Maxwell,4.17,5362,2013,8.4293268
"The Magic (The Secret, #3)",Rhonda Byrne,4.11,21271,2012,8.4277879
The Dance of Anger: A Woman's Guide to Changing the Patterns of Intimate Relationships,Harriet Lerner,4.1,26161,1985,8.4176543
Spark: The Revolutionary New Science of Exercise and the Brain,John J. Ratey,4.12,15774,2008,8.3979418
The Expectation Effect: How Your Mindset Can Change Your World,David   Robson,4.21,1961,2022,8.3924776
The 360 Degree Leader: Developing Your Influence from Anywhere in the Organization,John C. Maxwell,4.15,7538,,8.3772561
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.96,587594,2005,8.3690774
High Performance Habits: How Extraordinary People Become That Way,Brendon Burchard,4.13,11615,2017,8.3650192
The Best Yes: Making Wise Decisions in the Midst of Endless Demands,Lysa TerKeurst,4.11,18000,2014,8.3552725
Hold Me Tight: Seven Conversations for a Lifetime of Love,Sue Johnson,4.11,17898,2008,8.3528045
Principle-Centered Leadership,Stephen R. Covey,4.11,17726,1991,8.3486107
The Effective Executive: The Definitive Guide to Getting the Right Things Done,Peter F. Drucker,4.08,35289,1966,8.3476394
Trick Mirror: Reflections on Self-Delusion,Jia Tolentino,4.05,69564,2019,8.3423845
The Psychology of Winning: Ten Qualities of a Total Winner,Denis Waitley,4.21,1720,1979,8.3355284
Mindsight: The New Science of Personal Transformation,Daniel J. Siegel,4.13,10679,2009,8.3285306
Get Out of Your Head: Stopping the Spiral of Toxic Thoughts,Jennie Allen,4.08,33648,2020,8.3269593
"How to Take Smart Notes: One Simple Technique to Boost Writing, Learning and Thinking",Sönke Ahrens,4.13,10398,2017,8.3169498
The Path Between Us: An Enneagram Journey to Healthy Relationships,Suzanne Stabile,4.13,10348,2018,8.3148564
The Life-Changing Manga of Tidying Up,Marie Kondō,4.1,20382,2017,8.3092468
Barking Up the Wrong Tree: The Surprising Science Behind Why Everything You Know About Success Is Wrong,Eric Barker,4.11,15928,2017,8.3021612
"Great by Choice: Uncertainty, Chaos, and Luck—Why Some Thrive Despite Them All",James C. Collins,4.1,19954,2011,8.30003
Getting Things Done: The Art of Stress-Free Productivity,David    Allen,4.01,156889,2001,8.2955925
Fear: Essential Wisdom for Getting Through the Storm,Thich Nhat Hanh,4.14,7801,2012,8.2921503
The Power of Focus,Jack Canfield,4.15,6071,2000,8.2832602
The Art of War,Sun Tzu,3.96,478233,,8.2796395
The Creative Habit: Learn It and Use It for Life,Twyla Tharp,4.07,37839,2003,8.2779397
Upstream: The Quest to Solve Problems Before They Happen,Dan Heath,4.15,5941,2020,8.2738596
Super Attractor: Methods for Manifesting a Life beyond Your Wildest Dreams,Gabrielle Bernstein,4.13,9408,2019,8.2734973
The fifth agreement,Miguel Ruiz,4.11,14765,2009,8.2692335
Das Kind in dir muss Heimat finden: Der Schlüssel zur Lösung aller Probleme,Stefanie Stahl,4.13,9264,2015,8.2667985
"Becoming Bulletproof: Protect Yourself, Read People, Influence Situations, and Live Fearlessly",Evy Poumpouras,4.16,4613,2020,8.2639835
The Psychology of Selling: Increase Your Sales Faster and Easier Than You Ever Thought Possible,Brian Tracy,4.14,7233,1988,8.2593185
The 7 Habits of Highly Effective Families: Creating a Nurturing Family in a Turbulent World,Stephen R. Covey,4.12,11221,1996,8.2500316
Give and Take: A Revolutionary Approach to Success,Adam M. Grant,4.07,35385,2013,8.2488192
"Happy Sexy Millionaire: Unexpected Truths about Fulfillment, Love, and Success",Steven Bartlett,4.16,4385,,8.2419696
Six Pillars of Self-Esteem,Nathaniel Branden,4.12,10966,1994,8.2400482
Decoding Greatness: How the Best in the World Reverse Engineer Success,Ron      Friedman,4.23,870,,8.2395193
Intentional Living: Choosing a Life That Matters,John C. Maxwell,4.2,1720,2015,8.2355284
The Happiness Trap: How to Stop Struggling and Start Living: A Guide to ACT,Russ Harris,4.11,13541,2007,8.2316507
The Checklist Manifesto: How to Get Things Right,Atul Gawande,4.04,67685,2009,8.2304924
Make Time: How to Focus on What Matters Every Day,Jake Knapp,4.09,20855,2018,8.2192102
Captivate: The Science of Succeeding with People,Vanessa Van Edwards,4.14,6190,2017,8.1916906
"Change Your Thinking, Change Your Life: How to Unlock Your Full Potential for Success and Achievement",Brian Tracy,4.19,1934,2003,8.1864565
"The Power (The Secret, #2)",Rhonda Byrne,4.07,30432,2010,8.1833305
"King, Warrior, Magician, Lover: Rediscovering the Archetypes of the Mature Masculine",Robert L. Moore,4.13,7619,1990,8.181898
The Five Love Languages for Singles,Gary Chapman,4.11,12024,2001,8.180049
Say What You Mean: A Mindful Approach to Nonviolent Communication,Oren Jay Sofer,4.18,2381,2018,8.1767594
How to Be Yourself: Quiet Your Inner Critic and Rise Above Social Anxiety,Ellen Hendriksen,4.13,7519,2018,8.1761601
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.03,74205,2010,8.1704332
Courage: The Joy of Living Dangerously,Osho,4.13,7387,1977,8.1684681
Loving What Is: Four Questions That Can Change Your Life,Byron Katie,4.08,23256,2002,8.166535
You're Not Listening: What You're Missing and Why It Matters,Kate   Murphy,4.09,17721,2020,8.1484882
Born to Win: Find Your Success Code,Zig Ziglar,4.17,2797,2012,8.1466925
Life Without Limits,Nick Vujicic,4.12,8821,2007,8.1455178
"Big Potential: How Transforming the Pursuit of Success Raises Our Achievement, Happiness, and Well-Being",Shawn Achor,4.18,2214,,8.1451776
"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",Jim Kwik,4.09,17289,2020,8.1377699
The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,3.97,271998,2002,8.1345657
The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen,4.04,54134,1997,8.1334701
The Game of Life and How to Play It,Florence Scovel Shinn,4.1,13219,1978,8.1211986
"Do It Today: Overcome Procrastination, Improve Productivity, and Achieve More Meaningful Things",Darius Foroux,4.13,6604,,8.1198071
The Denial of Death,Ernest Becker,4.1,12818,1973,8.1078203
Letting Go: The Pathway To Surrender,David R. Hawkins,4.09,16111,2012,8.1071225
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,William H. McRaven,4,127346,2017,8.1049853
Who Not How: The Formula to Achieve Bigger Goals Through Accelerating Teamwork,Dan  Sullivan,4.16,3193,2020,8.1041989
Superforecasting: The Art and Science of Prediction,Philip E. Tetlock,4.08,19858,2015,8.0979355
The Art of Communicating,Thich Nhat Hanh,4.11,9762,2013,8.0895388
How Emotions Are Made: The Secret Life of the Brain,Lisa Feldman Barrett,4.11,9742,2017,8.0886481
The Tao of Pooh,Benjamin Hoff,4,119539,1982,8.0775096
What It Takes: Lessons in the Pursuit of Excellence,Stephen A. Schwarzman,4.12,7472,2019,8.0734369
"How Women Rise: Break the 12 Habits Holding You Back from Your Next Raise, Promotion, or Job",Sally Helgesen,4.12,7370,2018,8.0674675
Excuses Begone!,Wayne W. Dyer,4.11,9172,2009,8.062464
The Truth: An Uncomfortable Book About Relationships,Neil Strauss,4.12,7229,2015,8.0590782
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Austin Kleon,3.96,287326,2012,8.0583749
Evolve Your Brain: The Science of Changing Your Mind,Joe Dispenza,4.15,3579,2007,8.0537617
The Traveler's Gift: Seven Decisions that Determine Personal Success,Andy Andrews,4.08,17860,2002,8.0518815
The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide,Sean Covey,4.05,35589,1997,8.0513158
How Will You Measure Your Life?,Clayton M. Christensen,4.05,34493,2012,8.037731
"The Courage to Be Disliked: How to Free Yourself, Change your Life and Achieve Real Happiness",Ichiro Kishimi,4.02,68414,2013,8.035145
The Scout Mindset: Why Some People See Things Clearly and Others Don't,Julia Galef,4.13,5413,2019,8.033438
"The Way of the Superior Man: A Spiritual Guide to Mastering the Challenges of Women, Work, and Sexual Desire",David Deida,4.06,27062,1997,8.0323599
The Things You Can See Only When You Slow Down: How to Be Calm in a Busy World,Haemin Sunim,4.05,34050,2012,8.0321171
Rework,Jason Fried,3.98,165560,2010,8.0189554
Switch: How to Change Things When Change Is Hard,Chip Heath,4.03,51974,2010,8.0157861
The Drama of the Gifted Child: The Search for the True Self,Alice   Miller,4.06,25995,1979,8.0148898
Feeling Good: The New Mood Therapy,David D. Burns,4.05,31386,1980,7.996736
The Art of Loving,Erich Fromm,4.01,78678,1956,7.9958533
Discipline Equals Freedom: Field Manual,Jocko Willink,4.08,15535,2017,7.9913113
My Philosophy for Successful Living,Jim Rohn,4.18,1503,2011,7.976959
Decluttering at the Speed of Life: Winning Your Never-Ending Battle with Stuff,Dana K. White,4.08,14764,2018,7.969204
Don't Sweat the Small Stuff ... and It's All Small Stuff: Simple Ways to Keep the Little Things From Taking Over Your Life,Richard Carlson,4,92683,1997,7.9670001
Mastery: The Keys to Success and Long-Term Fulfillment,George Leonard,4.1,9233,1991,7.9653428
Principles: Summary,Ray Dalio,4.11,7221,2011,7.9585973
Do More Better: A Practical Guide to Productivity,Tim Challies,4.14,3604,2015,7.9567848
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,3.97,179888,2013,7.9550022
